ID,datetime,year,hour,month,temperature,var1,pressure,windspeed,var2,electricity_consumption
221,10/07/2013 05:00,2013,05:00:00,7,-7.9,-17.9,1012,404.94,A,204
137,06/07/2013 17:00,2013,17:00:00,7,-4.3,-15.7,1006,401.37,A,222
220,10/07/2013 04:00,2013,04:00:00,7,-7.9,-20,1006,399.645,A,219
16191,06/05/2015 15:00,2015,15:00:00,5,4.3,-6.4,999,398.145,A,231
34812,20/06/2017 12:00,2017,12:00:00,6,-3.6,-18.6,994,397.115,A,198
17597,04/07/2015 05:00,2015,05:00:00,7,-13.6,-22.9,1023,395.465,A,210
34345,01/06/2017 01:00,2017,01:00:00,6,-10.7,-17.9,1003,395.29,A,180
136,06/07/2013 16:00,2013,16:00:00,7,-6.4,-17.1,999,393.345,A,186
219,10/07/2013 03:00,2013,03:00:00,7,-7.9,-16.4,1004,391.745,A,222
34344,01/06/2017 00:00,2017,00:00:00,6,-9.3,-19.3,1005,391.27,A,210
34811,20/06/2017 11:00,2017,11:00:00,6,-5,-17.9,991,390.065,A,210
16190,06/05/2015 14:00,2015,14:00:00,5,3.6,-4.3,989,388.205,A,225
135,06/07/2013 15:00,2013,15:00:00,7,-4.3,-17.1,1009,386.195,A,204
17596,04/07/2015 04:00,2015,04:00:00,7,-12.1,-21.4,1010,385.885,A,213
218,10/07/2013 02:00,2013,02:00:00,7,-8.6,-16.4,1013,382.805,A,204
34810,20/06/2017 10:00,2017,10:00:00,6,-6.4,-18.6,1010,382.04,A,210
16189,06/05/2015 13:00,2015,13:00:00,5,4.3,-7.1,994,379.625,A,243
134,06/07/2013 14:00,2013,14:00:00,7,-3.6,-15.7,1013,379.02,A,204
217,10/07/2013 01:00,2013,01:00:00,7,-7.9,-20,994,377.245,A,204
34809,20/06/2017 09:00,2017,09:00:00,6,-5,-15.7,1002,376.105,A,210
17595,04/07/2015 03:00,2015,03:00:00,7,-13.6,-24.3,1024,375.695,A,207
34808,20/06/2017 08:00,2017,08:00:00,6,-7.1,-15.7,996,374.225,A,204
34807,20/06/2017 07:00,2017,07:00:00,6,-8.6,-18.6,1007,370.845,A,198
16188,06/05/2015 12:00,2015,12:00:00,5,3.6,-6.4,983,370.56,A,225
216,10/07/2013 00:00,2013,00:00:00,7,-7.9,-18.6,1002,370.095,A,210
17009,09/06/2015 17:00,2015,17:00:00,6,-5,-20.7,993,369.375,A,219
133,06/07/2013 13:00,2013,13:00:00,7,-4.3,-15.7,1007,368.955,A,216
17594,04/07/2015 02:00,2015,02:00:00,7,-10.7,-22.1,1014,368.52,A,192
34806,20/06/2017 06:00,2017,06:00:00,6,-7.1,-19.3,1010,366.7,A,180
8836,04/07/2014 04:00,2014,04:00:00,7,-12.1,-15.7,1006,364.89,A,219
17008,09/06/2015 16:00,2015,16:00:00,6,-4.3,-22.1,985,363.565,A,201
215,09/07/2013 23:00,2013,23:00:00,7,-8.6,-20,1003,363.32,A,192
8835,04/07/2014 03:00,2014,03:00:00,7,-11.4,-19.3,998,362.385,A,186
16187,06/05/2015 11:00,2015,11:00:00,5,2.1,-4.3,985,362.285,A,216
34805,20/06/2017 05:00,2017,05:00:00,6,-7.9,-16.4,992,361.655,A,189
17593,04/07/2015 01:00,2015,01:00:00,7,-10.7,-23.6,1015,361.495,A,222
132,06/07/2013 12:00,2013,12:00:00,7,-4.3,-17.1,1014,360.89,A,192
8834,04/07/2014 02:00,2014,02:00:00,7,-12.1,-17.9,1010,360.72,A,192
214,09/07/2013 22:00,2013,22:00:00,7,-8.6,-17.1,1011,359.55,A,195
1776,13/09/2013 00:00,2013,00:00:00,9,-2.1,-16.4,986,357.76,A,210
16186,06/05/2015 10:00,2015,10:00:00,5,2.1,-4.3,1000,357.225,A,234
8833,04/07/2014 01:00,2014,01:00:00,7,-8.6,-17.1,1015,356.965,A,198
17007,09/06/2015 15:00,2015,15:00:00,6,-2.1,-21.4,997,356.79,A,198
34804,20/06/2017 04:00,2017,04:00:00,6,-6.4,-15.7,995,356.36,A,186
213,09/07/2013 21:00,2013,21:00:00,7,-6.4,-19.3,999,356.17,A,222
212,09/07/2013 20:00,2013,20:00:00,7,-7.9,-20,1004,352.775,A,213
1775,12/09/2013 23:00,2013,23:00:00,9,0,-17.1,990,351.965,A,210
131,06/07/2013 11:00,2013,11:00:00,7,-5.7,-17.1,1014,351.825,A,201
17592,04/07/2015 00:00,2015,00:00:00,7,-10.7,-20.7,1015,350.665,A,216
8832,04/07/2014 00:00,2014,00:00:00,7,-9.3,-18.6,1011,350.44,A,207
34803,20/06/2017 03:00,2017,03:00:00,6,-7.9,-19.3,1004,350.425,A,210
17006,09/06/2015 14:00,2015,14:00:00,6,-3.6,-23.6,988,350.39,A,204
211,09/07/2013 19:00,2013,19:00:00,7,-6.4,-17.1,1003,346.73,A,222
1774,12/09/2013 22:00,2013,22:00:00,9,0.7,-14.3,1003,346.655,A,216
16185,06/05/2015 09:00,2015,09:00:00,5,0,-4.3,996,346.645,A,198
9913,18/08/2014 01:00,2014,01:00:00,8,-7.9,-17.1,1006,344.99,A,207
130,06/07/2013 10:00,2013,10:00:00,7,-7.1,-17.1,1013,343.135,A,186
210,09/07/2013 18:00,2013,18:00:00,7,-6.4,-20.7,1003,342.685,A,210
17005,09/06/2015 13:00,2015,13:00:00,6,-2.9,-20.7,998,342.115,A,222
17591,03/07/2015 23:00,2015,23:00:00,7,-11.4,-22.1,1019,342.1,A,222
34802,20/06/2017 02:00,2017,02:00:00,6,-7.1,-15.7,992,341.095,A,192
8831,03/07/2014 23:00,2014,23:00:00,7,-8.6,-18.6,1015,340.75,A,219
355,15/07/2013 19:00,2013,19:00:00,7,-8.6,-20.7,1010,340.725,A,216
1773,12/09/2013 21:00,2013,21:00:00,9,-1.4,-15,995,340.595,A,204
9912,18/08/2014 00:00,2014,00:00:00,8,-7.1,-17.1,1007,340.055,A,192
16184,06/05/2015 08:00,2015,08:00:00,5,0,-5,997,339.345,A,207
354,15/07/2013 18:00,2013,18:00:00,7,-8.6,-19.3,1011,336.47,A,216
209,09/07/2013 17:00,2013,17:00:00,7,-6.4,-16.4,1007,336.375,A,210
17004,09/06/2015 12:00,2015,12:00:00,6,-4.3,-21.4,990,335.715,A,201
129,06/07/2013 09:00,2013,09:00:00,7,-7.1,-17.1,1009,334.195,A,195
17590,03/07/2015 22:00,2015,22:00:00,7,-12.9,-20.7,1006,332.785,A,222
9911,17/08/2014 23:00,2014,23:00:00,8,-6.4,-16.4,1003,332.655,A,198
16183,06/05/2015 07:00,2015,07:00:00,5,0,-5,996,332.57,A,222
1772,12/09/2013 20:00,2013,20:00:00,9,-0.7,-15.7,1000,332.545,A,204
19962,10/10/2015 18:00,2015,18:00:00,10,6.4,-17.9,996,331.535,A,180
34801,20/06/2017 01:00,2017,01:00:00,6,-7.9,-18.6,1000,331.39,A,201
353,15/07/2013 17:00,2013,17:00:00,7,-7.1,-20.7,1017,331.16,A,210
8830,03/07/2014 22:00,2014,22:00:00,7,-7.1,-17.1,1008,331.045,A,204
26791,21/07/2016 07:00,2016,07:00:00,7,-7.9,-17.9,995,330.05,A,207
208,09/07/2013 16:00,2013,16:00:00,7,-5.7,-18.6,1013,328.975,A,213
17003,09/06/2015 11:00,2015,11:00:00,6,-6.4,-20,989,328.815,A,204
128,06/07/2013 08:00,2013,08:00:00,7,-10,-19.3,1017,327.17,A,192
16182,06/05/2015 06:00,2015,06:00:00,5,-1.4,-4.3,995,326.9,A,192
17589,03/07/2015 21:00,2015,21:00:00,7,-10.7,-24.3,1015,326.385,A,210
26790,21/07/2016 06:00,2016,06:00:00,7,-8.6,-16.4,1005,325.255,A,201
352,15/07/2013 16:00,2013,16:00:00,7,-7.1,-19.3,1016,324.01,A,195
19961,10/10/2015 17:00,2015,17:00:00,10,7.1,-17.9,989,323.485,A,186
9910,17/08/2014 22:00,2014,22:00:00,8,-7.1,-17.9,1008,323.34,A,201
19910,08/10/2015 14:00,2015,14:00:00,10,5.7,-10.7,999,323.16,A,210
1771,12/09/2013 19:00,2013,19:00:00,9,1.4,-17.9,986,322.965,A,192
34800,20/06/2017 00:00,2017,00:00:00,6,-5.7,-16.4,999,322.84,A,177
207,09/07/2013 15:00,2013,15:00:00,7,-6.4,-18.6,996,322.825,A,204
127,06/07/2013 07:00,2013,07:00:00,7,-9.3,-18.6,1011,322.775,A,207
34705,16/06/2017 01:00,2017,01:00:00,6,-7.1,-14.3,996,322.14,A,186
17002,09/06/2015 10:00,2015,10:00:00,6,-5.7,-20,996,320.265,A,195
8829,03/07/2014 21:00,2014,21:00:00,7,-7.1,-15.7,1001,319.865,A,186
26789,21/07/2016 05:00,2016,05:00:00,7,-9.3,-18.6,1014,319.835,A,207
34704,16/06/2017 00:00,2017,00:00:00,6,-5.7,-16.4,1004,319.385,A,213
126,06/07/2013 06:00,2013,06:00:00,7,-9.3,-17.9,1001,319.005,A,186
16181,06/05/2015 05:00,2015,05:00:00,5,-2.1,-7.1,980,318.21,A,210
19909,08/10/2015 13:00,2015,13:00:00,10,5.7,-13.6,984,317.99,A,213
17588,03/07/2015 20:00,2015,20:00:00,7,-12.1,-25,1016,316.68,A,222
26788,21/07/2016 04:00,2016,04:00:00,7,-7.1,-18.6,995,316.33,A,204
17001,09/06/2015 09:00,2015,09:00:00,6,-8.6,-18.6,998,315.995,A,195
351,15/07/2013 15:00,2013,15:00:00,7,-6.4,-19.3,1010,315.585,A,207
34703,15/06/2017 23:00,2017,23:00:00,6,-7.1,-15.7,1006,314.965,A,195
33885,12/05/2017 21:00,2017,21:00:00,5,-2.9,-13.6,994,314.945,A,210
9909,17/08/2014 21:00,2014,21:00:00,8,-6.4,-19.3,1006,314.775,A,207
1770,12/09/2013 18:00,2013,18:00:00,9,2.1,-16.4,989,314.65,A,222
19960,10/10/2015 16:00,2015,16:00:00,10,10,-13.6,980,314.56,A,189
125,06/07/2013 05:00,2013,05:00:00,7,-10.7,-18.6,1007,314.085,A,186
206,09/07/2013 14:00,2013,14:00:00,7,-5.7,-20,1008,313.9,A,189
34799,19/06/2017 23:00,2017,23:00:00,6,-5,-17.1,1012,312.76,A,192
16352,13/05/2015 08:00,2015,08:00:00,5,0,-13.6,995,312.615,A,231
29276,01/11/2016 20:00,2016,20:00:00,11,5,-8.6,994,311.97,A,240
34702,15/06/2017 22:00,2017,22:00:00,6,-6.4,-18.6,996,311.585,A,201
26787,21/07/2016 03:00,2016,03:00:00,7,-9.3,-20,1015,311.535,A,195
16395,15/05/2015 03:00,2015,03:00:00,5,-5,-15,1003,311.53,A,195
17000,09/06/2015 08:00,2015,08:00:00,6,-10,-20.7,997,310.435,A,219
19908,08/10/2015 12:00,2015,12:00:00,10,5.7,-12.9,996,310.215,A,198
16351,13/05/2015 07:00,2015,07:00:00,5,-2.9,-10,985,309.845,A,189
16180,06/05/2015 04:00,2015,04:00:00,5,-0.7,-5.7,979,309.785,A,198
8828,03/07/2014 20:00,2014,20:00:00,7,-5.7,-17.1,997,309.185,A,183
124,06/07/2013 04:00,2013,04:00:00,7,-9.3,-17.1,1017,309.165,A,207
9908,17/08/2014 20:00,2014,20:00:00,8,-6.4,-18.6,1008,309.09,A,213
34701,15/06/2017 21:00,2017,21:00:00,6,-8.6,-16.4,1001,308.455,A,186
350,15/07/2013 14:00,2013,14:00:00,7,-7.1,-22.1,1003,308.285,A,222
26786,21/07/2016 02:00,2016,02:00:00,7,-5.7,-17.1,1002,308.015,A,216
17587,03/07/2015 19:00,2015,19:00:00,7,-10,-21.4,1016,307.49,A,213
33884,12/05/2017 20:00,2017,20:00:00,5,-1.4,-15,1004,307.42,A,189
29275,01/11/2016 19:00,2016,19:00:00,11,6.4,-12.1,991,307.175,A,222
1769,12/09/2013 17:00,2013,17:00:00,9,2.9,-17.1,989,306.875,A,225
16999,09/06/2015 07:00,2015,07:00:00,6,-10.7,-20,998,306.79,A,222
19959,10/10/2015 15:00,2015,15:00:00,10,8.6,-14.3,977,306.385,A,201
9655,07/08/2014 07:00,2014,07:00:00,8,-12.1,-20.7,999,306.1,A,198
16350,13/05/2015 06:00,2015,06:00:00,5,-2.9,-13.6,992,306.09,A,186
3172,10/11/2013 04:00,2013,04:00:00,11,7.9,-5,970,306.045,A,207
205,09/07/2013 13:00,2013,13:00:00,7,-5.7,-20.7,1010,305.71,A,222
16394,15/05/2015 02:00,2015,02:00:00,5,-4.3,-15,1002,305.595,A,201
34700,15/06/2017 20:00,2017,20:00:00,6,-6.4,-15,999,304.935,A,219
123,06/07/2013 03:00,2013,03:00:00,7,-8.6,-16.4,1012,303.995,A,204
34798,19/06/2017 22:00,2017,22:00:00,6,-5.7,-17.1,992,303.805,A,201
9907,17/08/2014 19:00,2014,19:00:00,8,-5,-17.9,996,303.795,A,198
19907,08/10/2015 11:00,2015,11:00:00,10,3.6,-12.1,996,303.69,A,198
16998,09/06/2015 06:00,2015,06:00:00,6,-10,-18.6,1007,302.77,A,183
9654,07/08/2014 06:00,2014,06:00:00,8,-12.9,-22.9,1012,302.205,A,210
16349,13/05/2015 05:00,2015,05:00:00,5,-1.4,-13.6,984,301.795,A,210
3171,10/11/2013 03:00,2013,03:00:00,11,10,-5,971,301.525,A,204
29274,01/11/2016 18:00,2016,18:00:00,11,7.9,-12.9,984,300.99,A,237
16179,06/05/2015 03:00,2015,03:00:00,5,0,-7.9,982,300.955,A,213
33883,12/05/2017 19:00,2017,19:00:00,5,-0.7,-13.6,999,300.395,A,198
34699,15/06/2017 19:00,2017,19:00:00,6,-7.9,-18.6,1008,299.89,A,207
16393,15/05/2015 01:00,2015,01:00:00,5,-2.9,-16.4,990,299.535,A,216
8827,03/07/2014 19:00,2014,19:00:00,7,-7.9,-15.7,998,299.105,A,210
26785,21/07/2016 01:00,2016,01:00:00,7,-5.7,-15.7,1011,298.575,A,186
349,15/07/2013 13:00,2013,13:00:00,7,-7.9,-21.4,1011,298.455,A,192
16997,09/06/2015 05:00,2015,05:00:00,6,-8.6,-22.9,1002,298.225,A,192
17586,03/07/2015 18:00,2015,18:00:00,7,-12.1,-22.1,1012,297.91,A,222
1768,12/09/2013 16:00,2013,16:00:00,9,2.1,-17.1,982,297.67,A,216
3170,10/11/2013 02:00,2013,02:00:00,11,8.6,-3.6,986,297.38,A,207
19958,10/10/2015 14:00,2015,14:00:00,10,9.3,-13.6,990,297.055,A,186
19906,08/10/2015 10:00,2015,10:00:00,10,4.3,-10,989,296.54,A,183
122,06/07/2013 02:00,2013,02:00:00,7,-10,-19.3,1005,296.445,A,213
204,09/07/2013 12:00,2013,12:00:00,7,-7.1,-19.3,1018,296.395,A,222
9906,17/08/2014 18:00,2014,18:00:00,8,-6.4,-20,1002,296.37,A,213
16348,13/05/2015 04:00,2015,04:00:00,5,-1.4,-12.9,979,295.86,A,192
9653,07/08/2014 05:00,2014,05:00:00,8,-12.1,-23.6,1005,295.43,A,198
34797,19/06/2017 21:00,2017,21:00:00,6,-4.3,-15.7,1010,295.255,A,210
33882,12/05/2017 18:00,2017,18:00:00,5,0.7,-15.7,1001,295.085,A,192
34698,15/06/2017 18:00,2017,18:00:00,6,-5.7,-17.9,1004,294.995,A,198
16392,15/05/2015 00:00,2015,00:00:00,5,-2.1,-17.1,1002,294.49,A,201
26784,21/07/2016 00:00,2016,00:00:00,7,-5.7,-16.4,1014,293.265,A,210
16996,09/06/2015 04:00,2015,04:00:00,6,-9.3,-22.1,999,292.555,A,207
3169,10/11/2013 01:00,2013,01:00:00,11,10,-2.9,981,292.335,A,213
34697,15/06/2017 17:00,2017,17:00:00,6,-7.1,-15.7,1009,291.6,A,183
29273,01/11/2016 17:00,2016,17:00:00,11,10,-9.3,982,291.285,A,240
16178,06/05/2015 02:00,2015,02:00:00,5,0.7,-7.1,979,290.875,A,198
19957,10/10/2015 13:00,2015,13:00:00,10,7.1,-15,984,290.405,A,198
33881,12/05/2017 17:00,2017,17:00:00,5,0.7,-15.7,996,290.29,A,180
16391,14/05/2015 23:00,2015,23:00:00,5,-2.9,-18.6,1002,290.195,A,219
16347,13/05/2015 03:00,2015,03:00:00,5,-1.4,-13.6,980,289.55,A,207
348,15/07/2013 12:00,2013,12:00:00,7,-8.6,-22.1,1020,289.515,A,210
121,06/07/2013 01:00,2013,01:00:00,7,-7.9,-18.6,1002,289.51,A,204
17585,03/07/2015 17:00,2015,17:00:00,7,-8.6,-24.3,1020,289.22,A,228
34796,19/06/2017 20:00,2017,20:00:00,6,-3.6,-15.7,1000,288.48,A,186
9905,17/08/2014 17:00,2014,17:00:00,8,-5.7,-18.6,996,288.445,A,186
3168,10/11/2013 00:00,2013,00:00:00,11,8.6,-6.4,982,287.54,A,228
1767,12/09/2013 15:00,2013,15:00:00,9,2.1,-15.7,992,287.215,A,204
203,09/07/2013 11:00,2013,11:00:00,7,-6.4,-21.4,1008,286.955,A,198
19905,08/10/2015 09:00,2015,09:00:00,10,2.9,-10.7,984,286.85,A,210
34696,15/06/2017 16:00,2017,16:00:00,6,-3.6,-19.3,1001,286.83,A,198
8826,03/07/2014 18:00,2014,18:00:00,7,-5.7,-19.3,1000,286.66,A,180
26783,20/07/2016 23:00,2016,23:00:00,7,-4.3,-16.4,1010,286.49,A,186
33880,12/05/2017 16:00,2017,16:00:00,5,2.9,-16.4,1004,285.77,A,207
16390,14/05/2015 22:00,2015,22:00:00,5,-2.1,-17.9,998,285.3,A,219
16995,09/06/2015 03:00,2015,03:00:00,6,-10.7,-22.1,989,285.155,A,204
34795,19/06/2017 19:00,2017,19:00:00,6,-3.6,-15,991,284.71,A,198
9652,07/08/2014 04:00,2014,04:00:00,8,-12.1,-22.1,998,284.475,A,189
16346,13/05/2015 02:00,2015,02:00:00,5,-1.4,-10.7,982,283.99,A,186
120,06/07/2013 00:00,2013,00:00:00,7,-7.9,-17.1,1012,283.825,A,210
3167,09/11/2013 23:00,2013,23:00:00,11,10,-5.7,977,282.87,A,231
29272,01/11/2016 16:00,2016,16:00:00,11,7.9,-12.9,981,282.485,A,243
19956,10/10/2015 12:00,2015,12:00:00,10,7.1,-15,999,282.355,A,186
347,15/07/2013 11:00,2013,11:00:00,7,-9.3,-23.6,1012,281.465,A,204
34695,15/06/2017 15:00,2017,15:00:00,6,-5.7,-17.1,1004,281.395,A,207
16177,06/05/2015 01:00,2015,01:00:00,5,-0.7,-4.3,983,281.31,A,207
1766,12/09/2013 14:00,2013,14:00:00,9,3.6,-15.7,997,281.155,A,204
33879,12/05/2017 15:00,2017,15:00:00,5,2.9,-17.1,992,281.1,A,183
19904,08/10/2015 08:00,2015,08:00:00,10,2.9,-12.1,999,279.95,A,210
10457,09/09/2014 17:00,2014,17:00:00,9,1.4,-20,1008,279.93,A,198
16345,13/05/2015 01:00,2015,01:00:00,5,-1.4,-10.7,992,279.845,A,204
16994,09/06/2015 02:00,2015,02:00:00,6,-10,-20,994,279.845,A,186
34794,19/06/2017 18:00,2017,18:00:00,6,-5,-15,994,279.69,A,198
9651,07/08/2014 03:00,2014,03:00:00,8,-10,-25,1012,279.665,A,210
8392,15/06/2014 16:00,2014,16:00:00,6,-4.3,-21.4,1015,279.585,A,219
17584,03/07/2015 16:00,2015,16:00:00,7,-8.6,-22.1,1015,279.39,A,222
9904,17/08/2014 16:00,2014,16:00:00,8,-5,-19.3,995,279.38,A,204
26782,20/07/2016 22:00,2016,22:00:00,7,-5,-19.3,1000,278.465,A,207
202,09/07/2013 10:00,2013,10:00:00,7,-7.1,-21.4,1004,278.265,A,198
3166,09/11/2013 22:00,2013,22:00:00,11,8.6,-2.1,987,277.7,A,195
16344,13/05/2015 00:00,2015,00:00:00,5,-2.1,-12.1,995,277.68,A,210
34793,19/06/2017 17:00,2017,17:00:00,6,-2.9,-18.6,996,275.795,A,201
119,05/07/2013 23:00,2013,23:00:00,7,-8.6,-18.6,1014,275.775,A,210
1765,12/09/2013 13:00,2013,13:00:00,9,0.7,-16.4,1002,275.72,A,228
3165,09/11/2013 21:00,2013,21:00:00,11,10.7,-4.3,973,275.32,A,228
8391,15/06/2014 15:00,2014,15:00:00,6,-3.6,-19.3,1010,275.29,A,216
10456,09/09/2014 16:00,2014,16:00:00,9,1.4,-20.7,1005,274.87,A,204
8825,03/07/2014 17:00,2014,17:00:00,7,-5.7,-16.4,1010,274.59,A,216
16389,14/05/2015 21:00,2015,21:00:00,5,-0.7,-15.7,995,274.12,A,201
26781,20/07/2016 21:00,2016,21:00:00,7,-5.7,-17.9,1006,273.795,A,183
16343,12/05/2015 23:00,2015,23:00:00,5,-2.1,-12.9,984,273.635,A,210
16993,09/06/2015 01:00,2015,01:00:00,6,-10,-19.3,999,273.41,A,192
1764,12/09/2013 12:00,2013,12:00:00,9,1.4,-17.1,989,273.215,A,207
346,15/07/2013 10:00,2013,10:00:00,7,-9.3,-20,1006,272.915,A,195
19955,10/10/2015 11:00,2015,11:00:00,10,6.4,-12.9,997,272.665,A,186
16176,06/05/2015 00:00,2015,00:00:00,5,0,-5.7,987,272.62,A,219
33878,12/05/2017 14:00,2017,14:00:00,5,1.4,-18.6,995,272.425,A,189
34694,15/06/2017 14:00,2017,14:00:00,6,-5,-19.3,995,272.08,A,216
34792,19/06/2017 16:00,2017,16:00:00,6,-2.9,-16.4,1002,271.375,A,195
19903,08/10/2015 07:00,2015,07:00:00,10,0,-11.4,984,271.01,A,213
3164,09/11/2013 20:00,2013,20:00:00,11,11.4,-7.1,976,270.4,A,216
7841,23/05/2014 17:00,2014,17:00:00,5,-3.6,-12.9,1001,270.265,A,219
201,09/07/2013 09:00,2013,09:00:00,7,-8.6,-17.9,1003,269.95,A,210
9903,17/08/2014 15:00,2014,15:00:00,8,-2.9,-21.4,995,269.815,A,201
29271,01/11/2016 15:00,2016,15:00:00,11,7.9,-10,977,269.65,A,243
10455,09/09/2014 15:00,2014,15:00:00,9,0,-20,997,268.935,A,204
1763,12/09/2013 11:00,2013,11:00:00,9,0.7,-19.3,995,268.82,A,204
8390,15/06/2014 14:00,2014,14:00:00,6,-5.7,-18.6,1002,268.765,A,201
17583,03/07/2015 15:00,2015,15:00:00,7,-9.3,-23.6,1009,268.685,A,195
7840,23/05/2014 16:00,2014,16:00:00,5,0,-13.6,997,268.475,A,207
118,05/07/2013 22:00,2013,22:00:00,7,-7.1,-17.9,1002,268.1,A,231
16342,12/05/2015 22:00,2015,22:00:00,5,-0.7,-10.7,983,268.09,A,204
3476,22/11/2013 20:00,2013,20:00:00,11,11.4,1.4,975,267.9,A,249
9650,07/08/2014 02:00,2014,02:00:00,8,-12.1,-24.3,996,267.47,A,198
16992,09/06/2015 00:00,2015,00:00:00,6,-10,-19.3,995,267.385,A,186
3475,22/11/2013 19:00,2013,19:00:00,11,14.3,0,976,266.61,A,258
26780,20/07/2016 20:00,2016,20:00:00,7,-3.6,-17.1,1003,266.395,A,186
19902,08/10/2015 06:00,2015,06:00:00,10,-1.4,-9.3,990,266.34,A,186
25267,18/05/2016 19:00,2016,19:00:00,5,-0.7,-18.6,986,265.08,A,222
345,15/07/2013 09:00,2013,09:00:00,7,-10,-21.4,1008,264.99,A,210
19954,10/10/2015 10:00,2015,10:00:00,10,3.6,-15,995,264.865,A,198
8824,03/07/2014 16:00,2014,16:00:00,7,-6.4,-16.4,1005,263.91,A,195
33877,12/05/2017 13:00,2017,13:00:00,5,2.9,-17.1,993,263.845,A,177
34791,19/06/2017 15:00,2017,15:00:00,6,-2.9,-17.1,1003,263.6,A,186
16175,05/05/2015 23:00,2015,23:00:00,5,-2.1,-4.3,986,263.415,A,225
34693,15/06/2017 13:00,2017,13:00:00,6,-2.9,-17.1,1007,263.25,A,204
10454,09/09/2014 14:00,2014,14:00:00,9,0.7,-20,995,263.125,A,210
16388,14/05/2015 20:00,2015,20:00:00,5,-2.9,-17.9,999,262.55,A,195
7839,23/05/2014 15:00,2014,15:00:00,5,-1.4,-15,1007,262.54,A,192
1762,12/09/2013 10:00,2013,10:00:00,9,-2.1,-17.9,996,262.385,A,213
3163,09/11/2013 19:00,2013,19:00:00,11,10.7,-6.4,979,262.35,A,219
16341,12/05/2015 21:00,2015,21:00:00,5,-2.1,-11.4,987,262.03,A,204
200,09/07/2013 08:00,2013,08:00:00,7,-10,-17.1,1004,262.025,A,195
19901,08/10/2015 05:00,2015,05:00:00,10,-0.7,-11.4,978,261.17,A,198
117,05/07/2013 21:00,2013,21:00:00,7,-6.4,-17.1,1014,260.95,A,192
3474,22/11/2013 18:00,2013,18:00:00,11,16.4,0.7,990,260.675,A,258
26779,20/07/2016 19:00,2016,19:00:00,7,-4.3,-20.7,1005,259.995,A,189
8389,15/06/2014 13:00,2014,13:00:00,6,-6.4,-21.4,1009,259.59,A,222
9902,17/08/2014 14:00,2014,14:00:00,8,-2.9,-19.3,1007,258.635,A,210
17582,03/07/2015 14:00,2015,14:00:00,7,-9.3,-23.6,1004,258.38,A,225
344,15/07/2013 08:00,2013,08:00:00,7,-11.4,-24.3,1021,258.215,A,207
